DHSCLUST,Wealth_Index
31,-0.6662568181818181
56,-0.22796827586206897
63,-1.303483947368421
67,0.3213469696969697
74,0.3934588
76,0.47311479999999995
79,0.4396891304347826
138,-0.39071607142857145
164,-0.7109591666666667
216,0.8547130769230769
242,-1.0888328571428572
249,0.1707504761904762
263,-0.945416923076923
346,1.54492
349,1.3473555555555556
355,0.3393265
361,0.9020304545454546
393,0.8347642105263159
405,0.849055
441,0.5202407407407408
442,0.44897461538461536
450,0.24076714285714287
491,0.31231733333333334
512,0.0113468
532,0.1043232142857143
558,0.5867417647058824
563,0.9116796153846154
600,0.3374388461538462
638,0.7741388
651,0.6511481481481481
667,-0.3086728
699,-0.39742565217391307
705,-0.17493695652173913
727,-0.04697777777777778
784,-0.22993352941176473
832,0.3739368181818181
843,0.20461625
876,0.40714190476190476
895,-0.39647923076923075
909,-0.010822272727272724
948,0.8871121739130435
955,-0.34279652173913044
1055,-0.8432825000000002
1056,-0.8667516666666667
1086,0.1411961111111111
1087,0.1556627777777778
1171,-0.5597389285714286
1180,-0.6364127586206897
1182,-0.880741
1228,-0.40850346153846157
